-1.6447105511888076,0.014642285343680506,1.0756919977937494,218.0,682.0,246.0,681.0,246.0,709.0,219.0,709.0,-1.0,-0.5
-1.6157702752566925,0.03739797360393082,1.1381211598269563,219.0,682.0,246.0,681.0,246.0,710.0,219.0,710.0,-1.0,-0.5
-1.6140357532249179,0.039140409915155217,1.1426531340738952,218.0,682.0,246.0,681.0,246.0,710.0,219.0,710.0,-1.0,-0.5
-1.6300123082935034,0.029727580182226432,1.1137131926237185,216.0,681.0,244.0,681.0,244.0,709.0,217.0,709.0,-1.0,-0.5
-1.6479264581274569,0.014708118712287055,1.0751136780432868,216.0,682.0,244.0,681.0,244.0,709.0,217.0,709.0,-1.0,-0.5
-1.6171379003273207,0.03920674061555851,1.1421019765095601,216.0,682.0,244.0,681.0,244.0,710.0,217.0,710.0,-1.0,-0.5
-1.6328243611962128,0.026316335642985078,1.1091040495019087,216.0,682.0,244.0,682.0,244.0,710.0,216.0,710.0,-1.0,-0.5
-1.6172614997769075,0.037689311068109466,1.1425326108270466,216.0,683.0,244.0,682.0,244.0,711.0,217.0,711.0,-1.0,-0.5
-1.6339216271438977,0.022332100567857616,1.1035484460598917,218.0,683.0,245.0,683.0,244.0,711.0,218.0,711.0,-1.0,-0.5
-1.6423571483671076,0.014507404943414737,1.0841419755179076,217.0,683.0,246.0,684.0,245.0,711.0,218.0,711.0,-1.0,-0.5
-1.6250414378997595,0.024617238033269206,1.1109808341406373,221.0,683.0,249.0,683.0,249.0,711.0,221.0,711.0,-1.0,-0.5
-1.0474150936332656,0.038823383841080195,1.236737990872682,583.0,673.0,612.0,673.0,611.0,702.0,582.0,701.0,-0.5,-0.5
-1.043195756709689,0.048831688339058155,1.255554864188166,583.0,672.0,613.0,671.0,612.0,700.0,582.0,700.0,-0.5,-0.5
-1.0454018291120533,0.04310174409296297,1.2424773773930569,583.0,672.0,613.0,672.0,612.0,700.0,582.0,700.0,-0.5,-0.5
-1.0457107114200421,0.04422364354046737,1.2451285264473153,582.0,672.0,613.0,672.0,611.0,700.0,582.0,700.0,-0.5,-0.5
-1.0447598421943498,0.047263526209663564,1.2536739659218146,582.0,672.0,612.0,672.0,611.0,701.0,582.0,700.0,-0.5,-0.5
-1.0496827167217653,0.03867957306557379,1.2337621231418383,581.0,673.0,611.0,672.0,610.0,701.0,581.0,701.0,-0.5,-0.5
-1.047331839942198,0.04408198270492558,1.2444135910493244,581.0,672.0,612.0,672.0,610.0,700.0,581.0,700.0,-0.5,-0.5
-1.0386983142065302,0.058034672414985056,1.2678410749395679,584.0,669.0,614.0,668.0,613.0,697.0,584.0,698.0,-0.5,-0.5
-1.0364599045396157,0.05483078155475718,1.2625439824376319,587.0,669.0,616.0,669.0,615.0,698.0,586.0,698.0,-0.5,-0.5
-1.0438543608126243,0.035453355855029844,1.2117038643871587,587.0,669.0,617.0,669.0,616.0,697.0,586.0,697.0,-0.5,-0.5
-1.0390076096204273,0.044139267721922115,1.234923295315828,588.0,669.0,618.0,669.0,616.0,698.0,587.0,697.0,-0.5,-0.5
-1.040182822398473,0.03739194142723312,1.2411251479526273,588.0,674.0,617.0,675.0,615.0,704.0,586.0,702.0,-0.5,-0.5
-0.5151221371874976,0.04637409657778091,1.3947316905707043,931.0,677.0,960.0,677.0,959.0,707.0,930.0,706.0,0.0,-0.5
-0.5150821559222184,0.04561057150915315,1.3950094414820366,931.0,677.0,960.0,678.0,959.0,707.0,930.0,707.0,0.0,-0.5
-0.511242555383067,0.034298510177339425,1.3679521185939576,931.0,677.0,960.0,678.0,959.0,707.0,930.0,706.0,0.0,-0.5
-0.5150116789705483,0.04731855416438713,1.3969828606901902,931.0,677.0,960.0,677.0,960.0,707.0,930.0,706.0,0.0,-0.5
-0.5134997638054668,0.047120293227496,1.395029933818412,932.0,676.0,961.0,677.0,960.0,706.0,931.0,706.0,0.0,-0.5
-0.5145672763093977,0.04861282237997322,1.3994348710477535,931.0,677.0,961.0,677.0,960.0,706.0,931.0,706.0,0.0,-0.5
-0.5153142396552348,0.048662004361946676,1.3990648356799897,931.0,677.0,960.0,677.0,960.0,706.0,930.0,706.0,0.0,-0.5
-0.5160541427141541,0.04861391834568163,1.3990973302566172,930.0,677.0,960.0,677.0,959.0,706.0,930.0,706.0,0.0,-0.5
-0.5118102164399658,0.03463275166628266,1.3666147817610463,930.0,677.0,959.0,677.0,959.0,706.0,930.0,706.0,0.0,-0.5
-0.5161222328667203,0.045468956502251356,1.3884493653517171,930.0,676.0,958.0,676.0,958.0,706.0,929.0,705.0,0.0,-0.5
-0.5132278959107631,0.03615277825835017,1.3659050754537214,929.0,676.0,958.0,676.0,958.0,705.0,929.0,705.0,0.0,-0.5
-0.5181827807006872,0.050128345888962866,1.397974306625556,929.0,676.0,958.0,676.0,958.0,705.0,928.0,705.0,0.0,-0.5
0.036615808969239994,0.02194278299828234,1.4894674503609455,1296.0,683.0,1326.0,684.0,1326.0,714.0,1295.0,713.0,0.5,-0.5
0.02316059671193249,0.0341563208482234,1.5150005238966515,1296.0,683.0,1325.0,684.0,1326.0,714.0,1295.0,713.0,0.5,-0.5
0.03595794042073386,0.019623867232100523,1.4877580772663421,1295.0,684.0,1325.0,685.0,1325.0,715.0,1294.0,714.0,0.5,-0.5
0.016639949975331247,0.035871316213578974,1.5233610225117145,1294.0,685.0,1324.0,685.0,1324.0,715.0,1294.0,715.0,0.5,-0.5
0.034464153999133273,0.01794894773833633,1.489307706298954,1294.0,686.0,1324.0,686.0,1325.0,716.0,1294.0,716.0,0.5,-0.5
